"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
3.472239,0.2836569,0.394497,-0.004651302,0.0181525,-0.005821263,143.8,40,3.5,0.29019,0.40259,0.00033,0.02276,6e-05,0.11532,0.00652,0.05653,9e-05,-1.51252,0.00013,0.29005,0.08309,0.72079,0.70773,4.20642,"none",0.70773,0.70787,0.70758,"Comment",500,-1,"fish1"
3.417203,0.278892,0.3877948,-0.004797411,0.01785173,-0.005753321,144,42,3.4,0.28542,0.39589,0.00019,0.02246,0.00013,0.11522,0.00654,0.05673,5e-05,-1.55157,7e-05,0.28535,0.08305,0.72096,0.7078,4.13968,"none",0.70766,0.7078,0.70752,"Comment",500,-1,"fish1"
3.607771,0.294581,0.4099769,-0.004862982,0.01882763,-0.00591678,144.2,44,3.6,0.30111,0.41807,0.00012,0.02343,-3e-05,0.11528,0.00646,0.05605,3e-05,-1.52813,5e-05,0.30106,0.08302,0.72023,0.70765,4.36912,"none",0.70763,0.70775,0.70751,"Comment",500,-1,"fish1"
3.577951,0.292036,0.4063349,-0.004784476,0.01886364,-0.005790291,144.4,46,3.6,0.29857,0.41443,2e-04,0.02347,9e-05,0.11522,0.00653,0.05663,6e-05,-1.54959,8e-05,0.29849,0.08299,0.72042,0.70761,4.33311,"none",0.70761,0.70771,0.7075,"Comment",500,-1,"fish1"
3.458376,0.2819621,0.3919551,-0.004577011,0.01787805,-0.005829139,144.6,48,3.5,0.28849,0.40005,0.00041,0.02248,5e-05,0.11505,0.00647,0.0562,0.00012,-1.61503,0.00016,0.28833,0.08292,0.72114,0.7074,4.18802,"none",0.70759,0.70769,0.70749,"Comment",500,-1,"fish1"
3.377259,0.2756386,0.3833559,-0.004590377,0.0175742,-0.00578978,144.8,50,3.4,0.28217,0.39145,0.00039,0.02218,9e-05,0.11527,0.00653,0.05666,0.00012,-1.53339,0.00016,0.28201,0.08304,0.72082,0.70734,4.09168,"none",0.70759,0.70769,0.70749,"Comment",500,-1,"fish1"
3.3484,0.2726607,0.3794377,-0.004683489,0.01723611,-0.005995214,145,52,3.4,0.27919,0.38753,3e-04,0.02184,-0.00011,0.11509,0.00649,0.05636,9e-05,-1.59981,0.00012,0.27907,0.08288,0.72043,0.70741,4.05562,"none",0.70759,0.70769,0.70749,"Comment",500,-1,"fish1"
3.542563,0.2888123,0.4018255,-0.004900077,0.01852995,-0.005801521,145.4,56,3.6,0.29534,0.40992,8e-05,0.02314,8e-05,0.1151,0.0065,0.05644,2e-05,-1.59542,3e-05,0.29531,0.08292,0.72048,0.70765,4.28971,"none",0.70758,0.70767,0.70748,"Comment",500,-1,"fish1"
3.331064,0.2714434,0.3769447,-0.004523873,0.01732545,-0.005799372,145.6,58,3.3,0.27797,0.38504,0.00046,0.02193,8e-05,0.11494,0.00655,0.05696,0.00014,-1.65604,0.00018,0.27779,0.08293,0.72193,0.70766,4.0346,"none",0.70757,0.70767,0.70747,"Comment",500,-1,"fish1"
3.374449,0.2756768,0.3828155,-0.004563986,0.01749816,-0.005781042,145.8,60,3.4,0.28221,0.39091,0.00042,0.0221,1e-04,0.1152,0.00651,0.05654,0.00012,-1.55749,0.00017,0.28204,0.08312,0.72192,0.70764,4.08828,"none",0.70762,0.70772,0.70751,"Comment",500,-1,"fish1"
3.477209,0.2839435,0.3950597,-0.004783184,0.01819508,-0.005642459,146,62,3.5,0.29047,0.40316,2e-04,0.0228,0.00024,0.11532,0.00652,0.05655,6e-05,-1.51365,8e-05,0.29039,0.08306,0.7205,0.70775,4.21234,"none",0.70765,0.70774,0.70756,"Comment",500,-1,"fish1"
