"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","Userinitials"
2.536948,0.2053912,0.2858079,-0.00449085,0.0121297,-0.005740084,63.1,56,2.5,0.21054,0.29215,5e-04,0.01672,0.00016,0.11488,0.00657,0.05722,2e-04,-1.6798,2e-04,0.21034,0.08271,0.72066,0.70776,3.06229,"none",0.70743,0.70762,0.70724,"Comment2",-1,-1,"Ugh","MW"
2.482631,0.2014413,0.2796765,-0.004811566,0.01168212,-0.005789908,63.3,58,2.5,0.20659,0.28602,0.00018,0.01627,0.00011,0.11492,0.00654,0.05688,7e-05,-1.66328,7e-05,0.20652,0.08298,0.7223,0.70761,2.99757,"none",0.70734,0.70759,0.70708,"Comment2",-1,-1,"Ugh","MW"
2.535584,0.2060716,0.2865393,-0.004326806,0.01224479,-0.00600514,63.5,60,2.5,0.21122,0.29288,0.00067,0.01683,-0.00011,0.11523,0.00662,0.05747,0.00026,-1.5476,0.00027,0.21095,0.083,0.72118,0.70746,3.06239,"none",0.70722,0.7075,0.70693,"Comment2",-1,-1,"Ugh","MW"
2.430676,0.1970744,0.2736038,-0.004764814,0.01137031,-0.005784447,63.7,62,2.4,0.20222,0.27995,0.00023,0.01596,0.00011,0.11488,0.00655,0.057,9e-05,-1.67911,9e-05,0.20213,0.08295,0.72237,0.70735,2.93485,"none",0.70715,0.70745,0.70685,"Comment2",-1,-1,"Ugh","MW"
2.382761,0.1930472,0.2685534,-0.004699785,0.01112705,-0.005788295,63.9,64,2.4,0.1982,0.2749,0.00029,0.01571,0.00011,0.11507,0.00658,0.05716,0.00012,-1.60713,0.00012,0.19808,0.08292,0.72099,0.707,2.87758,"none",0.70704,0.70734,0.70674,"Comment2",-1,-1,"Ugh","MW"
2.414471,0.1954485,0.2724593,-0.004261122,0.01153138,-0.005756643,64.3,68,2.4,0.2006,0.2788,0.00073,0.01612,0.00014,0.11518,0.00666,0.05781,3e-04,-1.56699,0.00029,0.2003,0.08275,0.7195,0.70686,2.91583,"none",0.7069,0.70718,0.70663,"Comment2",-1,-1,"Ugh","MW"
2.454696,0.1989897,0.277436,-0.004766961,0.01168073,-0.005785614,64.5,70,2.5,0.20414,0.28378,0.00023,0.01627,0.00011,0.11532,0.00661,0.05732,9e-05,-1.51424,9e-05,0.20405,0.08292,0.71936,0.70657,2.96493,"none",0.70678,0.70702,0.70655,"Comment2",-1,-1,"Ugh","MW"
2.386823,0.1933366,0.2691099,-0.004545151,0.01126482,-0.005821187,64.7,72,2.4,0.19849,0.27545,0.00045,0.01585,7e-05,0.11511,0.00662,0.05755,0.00019,-1.59305,0.00018,0.19831,0.08287,0.72058,0.70651,2.88257,"none",0.70666,0.70687,0.70645,"Comment2",-1,-1,"Ugh","MW"
2.328198,0.1883611,0.262103,-0.004536355,0.01067583,-0.005888954,64.9,74,2.3,0.19351,0.26845,0.00046,0.01526,1e-05,0.115,0.00654,0.05686,2e-04,-1.63496,0.00018,0.19333,0.08282,0.72085,0.7067,2.81137,"none",0.70657,0.70672,0.70642,"Comment2",-1,-1,"Ugh","MW"
2.250718,0.1820998,0.2532109,-0.004380295,0.01051638,-0.00585132,65.1,76,2.3,0.18725,0.25955,0.00061,0.0151,4e-05,0.11501,0.00669,0.05819,0.00027,-1.63194,0.00025,0.187,0.08286,0.72143,0.70654,2.71851,"none",0.70655,0.70667,0.70642,"Comment2",-1,-1,"Ugh","MW"
2.261993,0.1828389,0.2549783,-0.004945674,0.01028929,-0.005807657,65.3,78,2.3,0.18799,0.26132,5e-05,0.01488,9e-05,0.11521,0.00656,0.05693,2e-05,-1.55346,2e-05,0.18797,0.08287,0.71938,0.70639,2.73229,"none",0.70655,0.70668,0.70642,"Comment2",-1,-1,"Ugh","MW"
2.223786,0.1795639,0.2502401,-0.004437075,0.01041097,-0.005739757,65.5,80,2.2,0.18471,0.25658,0.00056,0.015,0.00016,0.11506,0.00673,0.05845,0.00025,-1.61047,0.00022,0.18449,0.08273,0.7199,0.70644,2.68599,"none",0.7066,0.70676,0.70643,"Comment2",-1,-1,"Ugh","MW"
2.112468,0.1701263,0.2371881,-0.004960172,0.009206439,-0.006013412,65.7,82,2.1,0.17528,0.24353,3e-05,0.01379,-0.00012,0.11495,0.00651,0.05664,2e-05,-1.65395,1e-05,0.17526,0.08273,0.71973,0.70619,2.55119,"none",0.70666,0.70686,0.70647,"Comment2",-1,-1,"Ugh","MW"
2.124603,0.1716217,0.2388763,-0.004555729,0.009637972,-0.005923606,65.9,84,2.1,0.17677,0.24522,0.00044,0.01422,-3e-05,0.11509,0.00668,0.05801,0.00021,-1.60185,0.00017,0.1766,0.08288,0.72087,0.70645,2.56678,"none",0.70665,0.70685,0.70646,"Comment2",-1,-1,"Ugh","MW"
