"Blk88","Blk87","Blk86","Blk85","Blk84","Blk83","CycleSecs","name"
"-0.00598045","-0.005096801","-0.005736948","-0.004993892","-0.003449449","-0.005778828","116.3","PC_2016_01_A2_4R.run"
"-0.006089257","-0.005422859","-0.006092951","-0.005062589","-0.003278364","-0.005618816","116.5","PC_2016_01_A2_4R.run"
"-0.006169301","-0.005374074","-0.006058576","-0.005516532","-0.00353692","-0.005819125","116.7","PC_2016_01_A2_4R.run"
"-0.005894761","-0.005074719","-0.005862575","-0.004883037","-0.003345885","-0.005660261","116.9","PC_2016_01_A2_4R.run"
"-0.006042514","-0.005180648","-0.006003903","-0.004830345","-0.002986694","-0.005560958","117.1","PC_2016_01_A2_4R.run"
"-0.006009566","-0.005245516","-0.006089322","-0.005217847","-0.003657296","-0.005587961","117.3","PC_2016_01_A2_4R.run"
"-0.00584182","-0.005344958","-0.005645182","-0.004845468","-0.003291522","-0.005591468","117.5","PC_2016_01_A2_4R.run"
"-0.006183125","-0.005362553","-0.005992832","-0.0053829","-0.003618646","-0.005853059","117.7","PC_2016_01_A2_4R.run"
"-0.006031854","-0.005265865","-0.006027771","-0.004747826","-0.003226571","-0.005498505","117.9","PC_2016_01_A2_4R.run"
"-0.005827817","-0.005256812","-0.00583781","-0.005115477","-0.003297059","-0.005721307","118.1","PC_2016_01_A2_4R.run"
"-0.0059307","-0.005227685","-0.006183847","-0.004512013","-0.003407246","-0.005496847","118.3","PC_2016_01_A2_4R.run"
"-0.006182131","-0.005276063","-0.006135241","-0.005397919","-0.003399668","-0.005771172","118.5","PC_2016_01_A2_4R.run"
"-0.006192691","-0.00530092","-0.005865565","-0.005129517","-0.003176957","-0.005638632","118.7","PC_2016_01_A2_4R.run"
"-0.005761709","-0.005385823","-0.005998334","-0.004876344","-0.003292729","-0.005812109","118.9","PC_2016_01_A2_4R.run"
"-0.006275551","-0.00564212","-0.006208334","-0.004939144","-0.003363528","-0.005666627","119.1","PC_2016_01_A2_4R.run"
"-0.00608875","-0.005269262","-0.005875521","-0.004971941","-0.003323018","-0.00563791","119.3","PC_2016_01_A2_4R.run"
"-0.006191039","-0.005074339","-0.006055326","-0.004929112","-0.003454478","-0.005499374","119.5","PC_2016_01_A2_4R.run"
"-0.006010227","-0.005553597","-0.00607677","-0.005140082","-0.003308509","-0.005902834","119.7","PC_2016_01_A2_4R.run"
"-0.005841784","-0.005027969","-0.006048199","-0.00505226","-0.003616637","-0.005719284","119.9","PC_2016_01_A2_4R.run"
